Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51, Run 52, Run 53, Run 54, Run 55, Run 56, Run 57, Run 58, Run 59, Run 60, Run 61, Run 62, Run 63, Run 64, Run 65, Run 66, Run 67, Run 68, Run 69, Run 70, Run 71, Run 72, Run 73, Run 74, Run 75, Run 76, Run 77, Run 78, Run 79, Run 80, Run 81, Run 82, Run 83, Run 84, Run 85, Run 86, Run 87, Run 88, Run 89, Run 90, Run 91, Run 92, Run 93, Run 94, Run 95, Run 96, Run 97, Run 98, Run 99, Mean, Std Dev
Utilization, 0, 0.534084, 0.297312, 0.24935, 0.378013, 0.267279, 0.341136, 0.49659, 0.264853, 0.624714, 0.432826, 0.0740698, 0.388697, 0.0834214, 0.135963, 0.152875, 0.406916, 0.518974, 0.639136, 0.192079, 0.809783, 0.301629, 0.482607, 0.47296, 0.0507299, 0.54933, 0.068611, 0.295927, 0.371884, 0.614794, 0.29965, 0.495847, 0.141316, 0.449601, 0.239713, 0.546663, 0.419521, 0.121833, 0.664844, 0.349505, 0.409726, 0.313477, 0.229617, 0.224218, 0.621092, 0.3726, 0.467904, 0.375556, 0.215304, 0.510448, 0.182094, 0.55327, 0.287793, 0.359703, 0.464141, 0.542566, 0.285175, 0.533673, 0.277704, 0.593786, 0.266404, 0.521461, 0.286365, 0.213098, 0.732417, 0.259138, 0.613451, 0.48666, 0.466743, 0.285121, 0.419128, 0.106256, 0.74025, 0.471703, 0.448611, 0.361782, 0.13227, 0.114286, 0.292232, 0.46213, 0.209086, 0.422685, 0.233335, 0.501001, 0.561201, 0.235133, 0.682294, 0.0245275, 0.327497, 0.0951861, 0.454461, 0.482355, 0.592884, 0.194267, 0.376355, 0.404328, 0.291962, 0.512357, 0.445801, 0.516556, 0.0537032, 0.373414, 0.175274, 
, 10, 0.535345, 0.597067, 0.153152, 0.207801, 0.387619, 0.576748, 0.598354, 0.297773, 0.242716, 0.221175, 0.193119, 0.342713, 0.391527, 0.645077, 0.500504, 0.239836, 0.250899, 0.137156, 0.399536, 0.507765, 0.592481, 0.359696, 0.0795566, 0.266108, 0.447411, 0.549593, 0.576711, 0.348405, 0.350845, 0.588209, 0.314348, 0.693949, 0.359699, 0.510817, 0.598604, 0.314367, 0.240578, 0.3247, 0.0224352, 0.373459, 0.366635, 0.749797, 0.334158, 0.523289, 0.446806, 0.109093, 0.665728, 0.201667, 0.721062, 0.638814, 0.424313, 0.656247, 0.330315, 0.571764, 0.504357, 0.539731, 0.298555, 0.489435, 0.743805, 0.378471, 0.529859, 0.550606, 0.428564, 0.740124, 0.601011, 0.228496, 0.802763, 0.434713, 0.200061, 0.474513, 0.0927142, 0.302036, 0.477568, 0.275815, 0.707018, 0.30043, 0.611529, 0.240432, 0.318336, 0.232614, 0.536376, 0.482966, 0.430592, 0.407387, 0.43444, 0.779204, 0.226605, 0.301592, 0.640564, 0.513913, 0.493818, 0.371014, 0.0947621, 0.262746, 0.427437, 0.55559, 0.409713, 0.360845, 0.334272, 0.553375, 0.421983, 0.176076, 
, 20, 0.598703, 0.482403, 0.181552, 0.646351, 0.682181, 0.64795, 0.729824, 0.363839, 0.437157, 0.564623, 0.365459, 0.604662, 0.349195, 0.636677, 0.539694, 0.494296, 0.892088, 0.654032, 0.524375, 0.440488, 0.326049, 0.711448, 0.521021, 0.616626, 0.307099, 0.608253, 0.26096, 0.112669, 0.152905, 0.465077, 0.31518, 0.209203, 0.0676243, 0.42297, 0.360232, 0.984177, 0.339285, 0.732258, 0.265578, 0.375221, 0.308594, 0.684427, 0.359606, 0.737383, 0.399038, 0.495094, 0.344374, 0.388711, 0.455225, 0.202553, 0.452085, 0.223886, 0.0966702, 0.352228, 0.502983, 0.260966, 0.726196, 0.265235, 0.370026, 0.117733, 0.463921, 0.328485, 0.174522, 0.0748257, 0.532934, 0.178157, 0.342943, 0.166703, 0.433227, 0.772903, 0.451453, 0.605529, 0.120889, 0.758235, 0.542533, 0.709592, 0.396517, 0.686567, 0.235379, 0.682219, 0.570397, 0.847679, 0.538456, 0.317052, 0.271271, 0.463875, 0.184014, 0.674803, 0.458601, 0.288261, 0.122116, 0.0916059, 0.361648, 0.487, 0.304944, 0.475899, 0.317505, 0.360544, 0.856579, 0.221553, 0.436037, 0.206942, 
, 30, 0.198199, 0.135867, 0.241168, 0.0757408, 0.077569, 0.0784569, 0.163564, 0.17204, 0.309264, 0.130277, 0.193061, 0.10941, 0.390745, 0.121229, 0.0949863, 0.13649, 0.262733, 0.14405, 0.0797441, 0.25127, 0.0807459, 0.269656, 0.208022, 0.373899, 0.114882, 0.248933, 0.0528948, 0.224866, 0.127782, 0.0891104, 0.339936, 0.128411, 0.194128, 0.098016, 0.304481, 0.164419, 0.323872, 0.0551399, 0.466389, 0.367297, 0.149626, 0.372375, 0.0802135, 0.263674, 0.157457, 0.415308, 0.183258, 0.337382, 0.254651, 0.314716, 0.154468, 0.378499, 0.206413, 0.112375, 0.282237, 0.105585, 0.279113, 0.114917, 0.313214, 0.16769, 0.235555, 0.12286, 0.275685, 0.159966, 0.187149, 1, 0.0936152, 0.283776, 0.221752, 0.333008, 0.245272, 0.479864, 0.0773073, 0.154417, 0.142823, 0.227043, 0.103936, 0.156269, 0.0949297, 0.190851, 0.275864, 0.26662, 0.099316, 0.134661, 0.220946, 0.181096, 0.321849, 0.218908, 0.0938747, 0.180207, 0.0821535, 0.120668, 0.0533401, 0.206105, 0.194584, 0.239269, 0.163802, 0.338609, 0.146809, 0.450063, 0.210167, 0.128953, 
, 40, 0.132784, 0.0203606, 0.228233, 0.0879303, 0.306337, 0.222021, 0.26572, 0.222944, 0.0457298, 0.0961269, 0.23434, 0.0389084, 0.0693749, 0.312003, 0.0771881, 0.173238, 0.0662548, 0.388445, 0.12462, 0.139187, 0.198732, 0.0773125, 0.145031, 0.100697, 0.171575, 0.0899052, 0.990725, 0.0675426, 0.42403, 0.0959164, 0.227317, 0.0531319, 0.0820747, 0.0709217, 0.127032, 0.0350529, 0.186956, 0.108942, 0.0496754, 0.383304, 0.110437, 0.406131, 0.112213, 0.163453, 0.108542, 0.264115, 0.154796, 0.218956, 0.0313858, 0.188209, 0.16069, 0.139498, 0.362578, 0.137392, 0.402859, 0.13385, 0.100113, 0.136883, 0.105004, 0.254907, 0.188099, 0.0546066, 0.0408249, 0.0324081, 0.0552979, 0.400224, 0.0451431, 0.178241, 0.200766, 0.224093, 0.167816, 0.159644, 0.0527782, 0.247435, 0.0520798, 0.139718, 0.151913, 0.0615376, 0.258387, 0.184196, 0.248514, 0.132068, 0.284256, 0.180687, 0.169016, 0.0326458, 0.110985, 0.112762, 0.118293, 0.246675, 0.0706249, 0.360622, 0.112806, 0.306197, 0.212896, 0.113407, 0.264779, 0.190865, 0.055724, 0.113873, 0.169625, 0.12936, 
, 50, 0.296136, 0.215813, 0.157263, 0.417609, 0.226338, 0.157161, 0.135017, 0.0753216, 0.0782783, 0.112786, 0.223894, 0.322602, 0.449802, 0.28016, 0.446222, 0.224124, 0.115713, 0.0795383, 0.152209, 0.152964, 0.0225971, 0.169283, 0.194619, 0.161276, 0.278246, 0.230907, 1, 0.101113, 0.186649, 0.156778, 0.0820877, 0.184586, 0.185173, 0.0779675, 0.361467, 0.22982, 0.119576, 0.138768, 0.173293, 0.261895, 0.434823, 0.125948, 0.122367, 0.0489918, 0.144264, 0.111111, 0.103774, 0.289978, 0.169954, 0.0826752, 0.196426, 0.248692, 0.273138, 0.285559, 0.230138, 0.165861, 0.167643, 0.179174, 0.118737, 0.101915, 0.133389, 0.121911, 0.337727, 0.656018, 0.0903908, 0.274521, 0.089695, 0.135587, 0.0645206, 0.181169, 0.210233, 0.359433, 0.100898, 0.0677006, 0.262684, 0.1021, 0.253926, 0.338483, 0.185722, 0.0991905, 0.0657124, 0.17244, 0.356183, 0.0960606, 0.164557, 0.321204, 0.118885, 0.230285, 0.238725, 0.177632, 0.160369, 0.222268, 0.127494, 0.121177, 0.239049, 0.253566, 0.04188, 0.043684, 0.0827808, 0.257934, 0.197934, 0.133281, 
, 60, 0.245739, 0.771306, 0.427976, 0.38984, 0.443908, 0.0820541, 0.538419, 0.419326, 0.292813, 0.374223, 0.588109, 0.278561, 0.448261, 0.267164, 0.198269, 0.435571, 0.559268, 0.40632, 0.12788, 0.660506, 0.352779, 0.394613, 0.467226, 0.27395, 0.283236, 0.645764, 0.771228, 0.523904, 0.511633, 0.331917, 0.741832, 0.332576, 0.524199, 0.351698, 0.341647, 0.50278, 0.513829, 0.363913, 0.478054, 0.366263, 0.697229, 0.333869, 0.526301, 0.458641, 0.357176, 0.739721, 0.289227, 0.636931, 0.547642, 0.4383, 0.320778, 0.39164, 0.174774, 0.746787, 0.55108, 0.400769, 0.919167, 0.185176, 0.130243, 0.292232, 0.491107, 0.247362, 0.299818, 0.245712, 0.519579, 0.637963, 0.265586, 0.671256, 0.0710968, 0.318178, 0.190384, 0.590817, 0.503596, 0.581506, 0.264319, 0.396751, 0.690983, 0.309934, 0.828206, 0.463455, 0.519969, 0.0866352, 0.761168, 0.348499, 0.448338, 0.480007, 0.276794, 0.196393, 0.784928, 0.421825, 0.713535, 0.368061, 0.357256, 0.397797, 0.221732, 0.260857, 0.488886, 0.201649, 0.397859, 0.61664, 0.431027, 0.182985, 
, 70, 0.399184, 0.599279, 0.571861, 0.522032, 0.43634, 0.260055, 0.454126, 0.454158, 0.633239, 0.371301, 0.348936, 0.69574, 0.345332, 0.626068, 0.308237, 0.604415, 0.582731, 0.919544, 0.212846, 0.350821, 0.0177185, 0.334026, 0.329318, 0.82909, 0.536903, 0.554282, 0.454315, 0.14415, 0.56625, 0.332085, 0.931297, 0.533804, 0.424313, 0.654383, 0.350884, 0.668999, 0.533176, 0.529934, 0.387865, 0.419148, 0.582933, 0.34818, 0.50422, 0.508174, 0.278642, 0.710236, 0.624886, 0.227765, 0.860451, 0.450425, 0.176601, 0.55383, 0.0751312, 0.376804, 0.477567, 0.26749, 1, 0.259025, 0.615009, 0.283473, 0.292229, 0.215519, 0.814614, 0.477063, 0.482053, 0.406095, 0.434797, 0.779204, 0.182417, 0.315089, 0.680433, 0.365414, 0.452434, 0.405488, 0.062413, 0.32694, 0.34528, 0.539835, 0.225265, 0.334846, 0.608745, 0.529259, 0.598485, 0.616994, 0.297245, 0.366569, 0.148851, 0.350843, 0.690993, 0.263547, 0.680627, 0.0195152, 0.362152, 0.723505, 0.300774, 0.186308, 0.87858, 0.12411, 0.69044, 0.50514, 0.454891, 0.207621, 
, 80, 0.465708, 0.482487, 0.233631, 0.580995, 0.337392, 0.567674, 0.329357, 0.665143, 0.213442, 0.213266, 0.228841, 0.428725, 0.376881, 0.24305, 0.372693, 0.228879, 0.355438, 1, 0.327609, 0.756915, 0.360217, 0.441606, 0.25473, 0.684427, 0.195681, 0.734726, 0.462862, 0.457327, 0.389883, 0.411295, 0.326529, 0.207048, 0.494641, 0.244654, 0.0966705, 0.307643, 0.506078, 0.285178, 0.730278, 0.434853, 0.199477, 0.147221, 0.417394, 0.351661, 0.392416, 0.144693, 0.479346, 0.126321, 0.283342, 0.131019, 0.571322, 0.802083, 0.620219, 0.572414, 0.498559, 0.679172, 0.808875, 0.702932, 0.387922, 0.76132, 0.245841, 0.743059, 0.55799, 0.892778, 0.581815, 0.296021, 0.255638, 0.45646, 0.167493, 0.710197, 0.411827, 0.395902, 0.155738, 0.0916069, 0.404115, 0.424322, 0.225566, 0.48585, 0.257141, 0.354732, 0.726178, 0.23078, 0.364626, 0.263874, 0.641644, 0.359689, 0.0922432, 0.406989, 0.456123, 0.137745, 0.815787, 0.0513802, 0.669897, 0.659105, 0.399258, 0.277614, 0.555569, 0.328058, 0.416078, 0.557021, 0.420359, 0.205448, 


Avg Service Time, 0, 4.06464, 4.38761, 3.57512, 3.87338, 2.52768, 3.6317, 3.69395, 3.68117, 3.47841, 3.19793, 3.4025, 2.67941, 3.44027, 4.05441, 2.63015, 2.96241, 2.70675, 2.17396, 4.73208, 4.75633, 2.25574, 4.63925, 3.36736, 3.77607, 3.05431, 4.07157, 2.42576, 5.30461, 3.04897, 1.98479, 3.90479, 2.69397, 3.90163, 2.78426, 3.43341, 2.47681, 4.5185, 4.10054, 3.13353, 3.9967, 3.43598, 3.64033, 3.7312, 3.33414, 3.49189, 4.36501, 3.02101, 4.33174, 3.91902, 2.28919, 4.1916, 3.92079, 2.41516, 4.68366, 2.42375, 4.54713, 5.1199, 3.03728, 4.71258, 3.41978, 4.03212, 2.09807, 4.07944, 2.57315, 3.82388, 4.86548, 3.74745, 3.44775, 2.68452, 3.98803, 1.91337, 4.13353, 2.41253, 4.75042, 2.954, 3.12366, 3.09947, 2.53604, 3.83151, 3.41382, 2.33678, 3.47312, 5.59419, 3.98303, 4.94831, 2.453, 2.50965, 3.95045, 1.70577, 2.64088, 4.32657, 3.35843, 4.32816, 3.13645, 2.90344, 3.47538, 2.5322, 2.48899, 3.15923, 3.5527, 3.46918, 0.838899, 
, 1, 0.755993, 0, 0, 0, 2.54696, 0, 0, 0, 0, 0, 0, 0, 0, 2.54696, 0, 0, 0, 2.7544, 0, 0, 0, 0, 0, 0, 0, 0, 20.9368, 0, 0, 0, 2.76009, 0, 0, 0, 0, 0, 0, 0, 0, 2.76009, 0, 1.48713, 0, 1.30731, 0, 0, 0, 0, 0, 0, 0, 0, 1.30731, 0, 3.871, 0, 10.8907, 0, 0, 0, 0, 0, 0, 3.87101, 0, 10.8907, 0, 0.352325, 0, 0, 0, 0, 0, 0, 0, 0, 0.352325, 0, 0, 0, 0.704468, 0, 0, 0, 0, 0, 0, 0, 0, 0.704468, 0, 0, 0, 3.51682, 0, 0, 0, 0, 0, 0, 0.743169, 2.67029, 
, 2, 24.7092, 27.3226, 14.7113, 23.8388, 20.8878, 19.0097, 29.6451, 18.8667, 21.0531, 16.0687, 17.1965, 24.1374, 20.2172, 18.9725, 18.665, 18.796, 28.0491, 18.8541, 12.8118, 29.9411, 15.0045, 22.4534, 15.66, 23.7365, 21.0649, 28.4194, 19.4088, 14.9299, 24.2767, 19.2397, 24.1947, 14.7317, 16.892, 18.6813, 22.1614, 28.3507, 20.3412, 21.7893, 20.8381, 16.5797, 22.5325, 24.5952, 18.3277, 27.307, 16.669, 25.4214, 23.9732, 16.8331, 25.8721, 18.3799, 17.4711, 27.6173, 12.179, 25.6979, 28.6717, 19.6027, 27.4313, 15.0121, 23.7508, 14.9735, 20.6038, 17.8528, 22.1243, 28.8054, 25.2173, 19.5887, 19.5526, 26.961, 9.57174, 28.7678, 17.4237, 30.4046, 17.3237, 21.349, 20.4351, 20.3858, 19.1381, 23.1375, 19.8432, 18.6452, 32.9229, 21.845, 29.6601, 18.9239, 17.2191, 25.4952, 7.85916, 17.1053, 28.4989, 18.4179, 28.3797, 14.4646, 14.9663, 23.1627, 16.3652, 17.3981, 26.5872, 16.5609, 25.2016, 25.3396, 21.1833, 5.01537, 
, 3, 0.282928, 0, 1.30382, 0, 0, 0, 0, 0.925629, 0, 0.633263, 0, 0.340889, 0, 1.19299, 0, 1.55147, 0, 0, 0, 0, 0.691223, 0, 0.398857, 0, 1.52863, 0, 1.44064, 0, 0.354744, 0, 0, 0.749191, 0, 0.456818, 0, 0.997452, 0, 1.05982, 0, 1.65182, 0, 0.953339, 0, 0, 2.2514, 0, 0.222412, 0, 0.763046, 0, 1.42401, 0, 1.10294, 0, 0.718933, 0, 0, 0, 0, 0.821007, 0, 0.528633, 0, 1.71103, 0, 0.776894, 0, 0, 0, 0, 0.878967, 0, 0.586601, 0, 0.294228, 0, 1.23976, 0, 0.542488, 0, 0, 0, 0, 0.644562, 0, 0.352196, 0, 0.892822, 0, 1.81673, 0, 0.308083, 0, 0, 0, 0, 0.410156, 0, 0.95079, 0, 0.357512, 0.538313, 
, 4, 0.604988, 0, 0.377132, 0, 0.436455, 0, 0.296062, 0, 0.846844, 0.48547, 1.04201, 0.345078, 0, 0.73476, 0, 0.464291, 0, 0.323895, 0, 0.440338, 0.113304, 0.612476, 0.37291, 0.784618, 0.232517, 0, 0.842831, 0, 0.35173, 0, 0.211334, 0, 0.959255, 0, 0.7314, 0.260349, 0.190153, 0.119957, 0, 0.561752, 0, 0.23917, 0, 0.498775, 0, 1.05744, 0, 0.852612, 0.147789, 0.477594, 0.508533, 0, 1.14053, 0, 0.12661, 0, 0.386215, 0, 0.526035, 0.175625, 0.721199, 0.43523, 0.365034, 0.813953, 0, 0.154442, 0, 0.414047, 0, 0.743874, 0, 0.516018, 0.463062, 0.392868, 0.32267, 0, 0.346371, 0, 0.441883, 0, 0.301487, 0, 0.462795, 0, 0.634937, 0.350506, 0.280308, 0.21011, 0, 0.865292, 0, 0.329323, 0, 0.188927, 0, 0.736637, 0, 1.34019, 0.237946, 0.167747, 0.311157, 0.322438, 
, 5, 1.28906, 1.72535, 0.263203, 2.60692, 1.35212, 2.90704, 1.07759, 3.21558, 1.93889, 1.96228, 1.59588, 1.06763, 2.69234, 1.04509, 1.89663, 0.782124, 3.42066, 1.03973, 2.54893, 0.959427, 1.45474, 1.83905, 2.7211, 2.00131, 0.7314, 2.39008, 0.919056, 1.44492, 0.696106, 2.28571, 1.31208, 2.94441, 1.6978, 1.89006, 2.15302, 1.83663, 1.80702, 1.57905, 1.62727, 0.925415, 2.20168, 0.964691, 2.77797, 0.885736, 2.1833, 1.42309, 2.27235, 1.62796, 1.96776, 0.923324, 1.76091, 3.34951, 1.30812, 3.29421, 1.23328, 1.94231, 0.948053, 2.27509, 1.2495, 2.99472, 2.66033, 1.86719, 1.74265, 0.617508, 1.88783, 0.685661, 2.26222, 0.63343, 2.16253, 1.43686, 2.33421, 2.29348, 0.855667, 2.25461, 0.634933, 1.79466, 0.392387, 2.81836, 1.32826, 2.86579, 0.694357, 1.89834, 1.59504, 1.17639, 1.96303, 2.5094, 1.97618, 1.48555, 2.63186, 1.27736, 1.9123, 0.959095, 1.70741, 0.469236, 2.95714, 1.72032, 2.69561, 2.10085, 3.46511, 1.40717, 1.77357, 0.762098, 
