Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51, Run 52, Run 53, Run 54, Run 55, Run 56, Run 57, Run 58, Run 59, Run 60, Run 61, Run 62, Run 63, Run 64, Run 65, Run 66, Run 67, Run 68, Run 69, Run 70, Run 71, Run 72, Run 73, Run 74, Run 75, Run 76, Run 77, Run 78, Run 79, Run 80, Run 81, Run 82, Run 83, Run 84, Run 85, Run 86, Run 87, Run 88, Run 89, Run 90, Run 91, Run 92, Run 93, Run 94, Run 95, Run 96, Run 97, Run 98, Run 99, Mean, Std Dev
, 6, 0.298703, 0.195686, 0.853745, 0.628895, 1.34056, 0.503791, 0.817162, 0.717753, 0.425259, 0.427206, 0.00222969, 0.703309, 0.498215, 0.748199, 0.396338, 1.09174, 0.597993, 0.975282, 0.341012, 0.418121, 0.513567, 1.01895, 0.748594, 0.176743, 1.17463, 0.471268, 0.697042, 0.168238, 0.530644, 0.246853, 1.56608, 0.763191, 0.363661, 1.21533, 0.212276, 0.791317, 0.403578, 0.402378, 0.184084, 1.4512, 0.61563, 1.26402, 0.434193, 0.437428, 0.325828, 0.406666, 0.585417, 0.798912, 0.251846, 0.423964, 1.69519, 0.415413, 1.39958, 1.02806, 0.630952, 0.153514, 0.737302, 0.225378, 0.829821, 1.15146, 0.385235, 0.776239, 0.425493, 0.285512, 0.57235, 0.498996, 0.157701, 1.1465, 0.609688, 0.981338, 0.884734, 0.175213, 0.666904, 0.430168, 0.426266, 0.133907, 1.12101, 0.597567, 0.880711, 0.490814, 0.482129, 1.1483, 0.259953, 0.819067, 0.511889, 1.03568, 0.151218, 1.3514, 1.03612, 0.326337, 0.750641, 0.379338, 0.163065, 0.913, 1.10496, 0.60421, 0.765162, 0.201351, 0.990869, 0.137844, 0.636702, 0.370774, 
, 7, 0.846539, 1.0885, 0.785568, 1.24954, 0.895877, 1.71872, 1.02295, 0.935369, 0.324581, 0.543871, 1.12239, 1.67412, 1.8374, 0.49712, 1.83482, 1.17803, 0.942315, 1.11933, 0.925831, 0.873424, 1.83679, 1.09562, 0.683802, 1.52062, 0.513936, 1.55115, 0.47594, 1.40981, 0.561589, 2.42464, 1.14071, 1.00212, 1.87816, 0.739143, 1.47226, 1.00374, 0.68285, 1.1871, 1.58279, 1.35766, 2.10894, 0.807254, 1.30916, 1.61506, 1.72018, 0.728398, 1.44102, 1.1425, 1.46597, 2.47257, 0.929629, 1.26172, 1.40584, 1.06468, 0.65316, 1.58743, 0.300136, 1.13102, 1.47708, 1.01822, 2.17721, 0.970493, 1.11204, 0.596141, 0.918369, 0.200865, 1.74884, 1.55324, 1.59063, 0.905804, 0.645601, 1.82103, 0.627533, 0.933367, 1.14252, 1.77841, 0.86674, 1.94927, 1.266, 0.579417, 1.57435, 0.914841, 0.817014, 1.14747, 2.08917, 1.7017, 2.2098, 1.09525, 1.55815, 0.848319, 0.503996, 0.787983, 1.67224, 1.5692, 1.8208, 1.31832, 1.83721, 1.1593, 0.520985, 0.634908, 1.20341, 0.499624, 
, 8, 1.30426, 1.2992, 2.57201, 0.865599, 1.66222, 1.56166, 1.29667, 1.01177, 0.706451, 1.84737, 1.25488, 1.15238, 0.438534, 2.88188, 1.48374, 2.6116, 0.324179, 1.14507, 1.01199, 3.30829, 1.57871, 0.743732, 2.77218, 0.0842781, 0.76803, 0.406265, 1.35543, 0.557194, 3.42723, 0.592737, 2.65395, 2.13008, 1.08535, 0.944511, 0.713039, 0.971052, 0.951096, 2.65613, 0.755287, 4.57932, 0.737597, 1.10807, 0.226686, 1.40289, 0.596628, 1.17078, 0.694031, 0.843323, 3.95404, 0.449963, 1.80669, 0.932518, 1.42145, 0.298275, 1.67822, 0.552929, 2.68216, 2.85701, 1.17956, 1.39709, 0.434742, 0.731584, 1.06733, 0.912137, 0.391287, 2.68756, 0.69957, 1.21856, 1.59433, 0.720997, 1.48327, 0.644997, 1.26041, 0.197746, 1.78794, 0.375202, 2.38323, 0.917439, 1.00205, 1.51682, 0.727974, 0.522392, 0.951744, 2.56972, 1.45944, 2.76816, 0.0612373, 2.5024, 0.342022, 1.21367, 0.340612, 1.44843, 0.499022, 3.12236, 1.89852, 1.29177, 2.39276, 0.0901108, 0.444418, 0.722359, 1.32852, 0.917013, 


Avg Wait Time, 0, 13.103, 5.22612, 2.44274, 10.3279, 4.06175, 9.21462, 7.36787, 4.37918, 7.7656, 2.65785, 2.39041, 4.89931, 5.44371, 6.45565, 9.37864, 7.54521, 4.02928, 3.78728, 7.18212, 9.28466, 2.90099, 8.95942, 1.28977, 10.6609, 4.09, 8.80506, 36.8879, 4.19396, 4.80324, 2.63225, 9.95154, 1.76474, 6.98493, 1.24504, 3.70873, 6.64221, 3.17504, 7.53552, 6.35346, 3.70722, 7.06013, 9.1042, 7.68132, 7.83548, 3.41876, 8.15349, 3.95347, 4.20503, 9.84087, 2.44703, 5.35335, 7.04016, 1.1117, 7.28682, 10.0758, 6.04187, 40.9792, 4.8751, 8.09858, 3.34258, 8.82329, 3.90767, 6.33673, 10.4966, 4.27305, 28.3762, 8.25311, 7.22224, 2.47176, 7.94377, 5.40656, 13.1615, 6.79003, 6.03021, 3.4139, 6.78202, 4.48135, 8.94761, 7.33798, 5.70119, 8.49698, 3.88859, 7.78075, 3.58359, 8.45786, 8.53036, 0.608012, 5.33987, 7.25942, 6.32265, 14.7389, 4.23998, 5.31004, 8.2522, 3.37443, 7.60649, 7.6912, 2.49934, 7.97051, 6.86673, 7.06114, 5.7969, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.112885, 0, 0, 0, 0, 0, 0, 0, 0, 16.7893, 0, 0, 0, 0.47065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8147e-06, 0, 0, 0, 0, 0, 0, 0, 0, 1.90735e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.150162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.17523, 1.67894, 
, 2, 9.7195, 8.75681, 3.64476, 10.0152, 5.34723, 12.6367, 12.1622, 2.35533, 8.9829, 2.88052, 0.71711, 4.72374, 2.49355, 9.11676, 7.99077, 2.25249, 17.6781, 2.93333, 3.2032, 12.2863, 3.35808, 7.02989, 2.30152, 10.0621, 2.94199, 1.69216, 25.6825, 3.00554, 2.16355, 5.50005, 10.4739, 6.46763, 8.04726, 3.3131, 3.59801, 14.4093, 5.30166, 6.46906, 9.79605, 1.50742, 5.16438, 9.02519, 2.22196, 7.33138, 5.60078, 9.78718, 2.96547, 3.47678, 17.498, 3.0149, 5.25619, 13.5835, 1.1032, 7.68244, 14.4113, 10.1207, 67.8977, 1.72894, 5.59316, 2.69814, 0.783676, 17.1845, 3.97102, 19.8892, 2.48175, 2.86811, 10.3502, 8.74554, -2.38419e-07, 9.91775, 1.31618, 8.39454, 10.9974, 14.2241, 8.39424, 1.77225, 2.21749, 6.88125, 3.508, 14.5566, 6.66438, 12.1916, 5.12121, 1.71318, 2.05544, 7.7369, 1.03316, 6.30506, 2.20311, 2.10929, 21.3892, 6.0964, 14.4535, 19.8654, 1.07756, 6.7248, 13.6651, 4.06129, 9.6692, 6.93908, 7.68707, 8.04498, 
, 3, 0, 0, 1.36462, 0, 0, 0, 0, 0.791985, 0, 0.54435, 0, 1.66831, 0, 0, 0, 0.84269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.648827, 0, 0, 0, 0, 0, 0, 0.0586472, 0, 0.463425, 0, 0, 0, 0, 0, 0, 0, 0, 0.399483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59935, 0, 0.342018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.967003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.697647, 0, 0.776077, 0, 0, 0, 0, 0, 0, 3.03689, 0, 0.142013, 0.437888, 
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.3361, 0, 0.00601196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0855179, 0, 0.0990982, 0, 0, 0, 0, 0, 0.484798, 0, 0, 0.0424004, 0, 0.561817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.723248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.415447, 0, 0, 0, 0.440254, 0, 0, 0, 0.0747776, 0, 0.0348034, 0.34264, 2.93735, 
, 5, 0.322212, 0, 0, 5.86509, 0.517662, 8.69697, 4.11481, 0.530083, 2.86626, 0, 0.769828, 3.47073, 0, 0.69566, 0.808449, 0.0681496, 14.4877, 2.22523, 2.33249, 0.95948, 0, 0.836508, 0.199093, 0.0976334, 0, 2.47406, 20.648, 1.71813, 0, 1.73724, 1.60923, 1.19209e-07, 0.588814, 2.23848, 1.69008, 0.545023, 3.85778, 0.613937, 1.47513, 0, 5.78573, 0, 11.7585, 1.09795, 0, 0.668514, 3.89002, 0.012207, 0.695442, 1.22453, 0.0542908, 0.752144, 1.80942, 3.39787, 0.02351, 0, 0, 1.94901, 0.77681, 1.34168, 1.01764, 0.68482, 4.95156, 3.78649, 1.9381, 0, 2.79132, 2.49682, 1.37816, 1.22785, 7.45058e-09, 3.25526, 0, 1.40127, 0.609505, 0.593487, 0.201717, 6.87057, 0.0252647, 4.4279, 1.81999, 0, 1.67864, 0.532829, 2.4605, 1.4811, 0.0908928, 0.00288391, 2.89596, 0, 5.68245, 0.34861, 0.701289, 2.47199, 0.125275, 0.0420265, 5.47401, 0, 7.90482, 0.382805, 1.96051, 3.11829, 
, 6, 2.98078, 6.51083, -2.38419e-07, 0, 2.21377, 2.87976, 3.8147e-06, 0.387494, 0.4632, 0, 0, 1.12671, 0, 5.72105, 0, 0.814615, 0, 1.47886, -1.90735e-06, 0.656349, 2.38907, 0, 0, 0, 1.10778, 0.804996, 7.0575, 0, 0.521306, 0.10672, 0.600259, 4.37153, 0, 0.499935, 0.13937, 0, 0.621454, 3.27713, 0.574778, 0.10319, 0.365573, 0.293713, 0, 0.0508118, 2.56046, 1.27299, 0.536995, 0, 0.855869, 0, 2.70711, 1.48153, 1.46177, 0.567027, 3.17614, 0.894339, 0, 0, 0.0271645, 0.0556607, 0.655195, 0.524303, 0, 3.33328, 4.39011, 12.2154, 0.55854, 1.41008, 1.28301, 1.19425, 0.380795, 1.94175, 0, 0, 0.576126, 2.07522, 0.908768, 0, 1.90945, 4.15336, 1.09906, 14.6533, 0, 2.28099, 0.366417, 1.03935, 0, 1.93456, 0, 0.614264, 0, 1.22766, 0.127064, 0.875218, 0.00370407, 0, 8.2192, 0, 2.03515, 0, 1.35701, 2.36888, 
, 7, 4.07943, 5.64505, 0.341583, 5.7214, 2.28366, 0.621162, 3.34185, 0, 0.767643, 1.97725, 3.42005, 1.6299, 3.68383, 0.0714264, 10.6138, 1.14142, 0, 1.71404, 0, 9.86287, 1.25387, 0.0304413, 1.5161, 0.209618, 0, 0.646832, 31.2038, 0, 2.62627, 1.76348, 3.48932, 0, 3.7544, 1.80976, 0.505013, 10.3282, 0.114574, 1.83132, 1.89165, 2.73724, 2.93771, 0, 0.270237, 0.430822, 1.68305, 0.326141, 2.68684, 2.65766, 5.434, 4.26821, 2.26593, 2.33457, 2.3073, 1.99574, 7.90815, 1.3664, 1.87792, 0, 3.91236, 2.05723, 0.159416, 0.218884, 7.29189, 4.09634, 0.460974, 13.7477, 2.95548, 6.6986, 2.65297, 1.9542, 0, 7.06406, 0.286392, 7.85247, 0.34635, 1.44912, 0.54759, 2.45093, 0, 0.237034, 5.11534, 1.67012, 0.621456, 2.38027, 0.436411, 1.14312, 1.19987, 0.980499, 3.17797, 0.0805407, 0.0990753, 4.0269, 1.50926, 1.8723, 2.16666, 3.13596, 4.93226, 0.265541, 5.25284, 2.99886, 2.72884, 3.90632, 
, 8, 1.36143, 0, 0.268983, 3.88702, 0.482063, 8.28978, 0.883011, 2.38103, 0, 0.0236349, 2.02433, 2.98009, 0.253696, 6.3997, 0.0425568, 1.18596, 9.60064, 1.90735e-06, 0.607485, 2.3802, 0, 0, 0, 0, 0.183014, 0.405228, 14.0085, 0.139645, 4.53573, 2.52493, 5.77853, 0, 3.7682, 0, 0, 0.119381, 0, 2.53835, 0, 3.713, 0, 0.068985, 0.137638, 0, 1.39728, 3.18041, 1.96063, 0.186954, 0.933897, 0, 3.9626, 0, 1.48351, 0, 5.96046e-08, 0.105814, 17.5239, 3.57838, 0, 0.0689774, 0.529549, 0.0335846, 0, 4.28664, 0, 9.49205, 0, 0.00926972, 0.0841999, 5.6721, 0.248036, 0.570396, 0, 0.566719, 0.365311, 0, 0.584961, 0, 0.553831, 0, 0, 1.83556, 5.14072, 0.0748491, 0.558685, 0.797057, 0.219128, 4.81558, 0.456207, 0.636941, 0, 0.781946, 0.365305, 3.41447, 0.0929451, 1.02452, 0.427309, 0, 0, 4.67589, 1.63669, 2.94152, 


Number In, 0, 31, 33, 25, 28, 18, 23, 25, 27, 33, 18, 24, 17, 26, 27, 24, 20, 19, 29, 28, 32, 17, 33, 22, 25, 24, 29, 31, 26, 27, 17, 28, 21, 28, 20, 29, 26, 24, 33, 23, 25, 24, 24, 27, 33, 26, 27, 27, 27, 25, 19, 29, 29, 25, 31, 21, 30, 30, 28, 32, 25, 28, 20, 25, 26, 27, 33, 29, 24, 22, 31, 13, 36, 23, 30, 24, 31, 26, 27, 29, 20, 25, 25, 31, 26, 32, 22, 19, 33, 16, 26, 30, 20, 31, 22, 25, 30, 25, 23, 28, 27, 25.94, 4.57004, 
, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.19, 0.419114, 
, 2, 23, 27, 15, 19, 20, 17, 30, 17, 21, 13, 17, 23, 21, 17, 20, 20, 24, 28, 13, 28, 14, 20, 18, 23, 26, 21, 21, 13, 23, 18, 24, 15, 19, 19, 19, 27, 20, 17, 20, 16, 22, 27, 18, 24, 19, 23, 21, 16, 25, 20, 18, 26, 16, 26, 23, 22, 27, 15, 22, 16, 19, 22, 20, 26, 22, 20, 19, 26, 9, 28, 20, 26, 18, 26, 20, 22, 19, 19, 21, 19, 27, 19, 25, 21, 15, 27, 10, 19, 25, 16, 29, 14, 18, 25, 16, 19, 24, 19, 20, 21, 20.62, 4.32232, 
, 3, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 3, 0, 1, 0, 0, 3, 0, 1, 0, 1, 0, 3, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0.59, 0.842015, 
, 4, 2, 0, 2, 0, 1, 0, 1, 0, 3, 1, 3, 1, 0, 3, 0, 1, 0, 1, 0, 2, 1, 2, 1, 2, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 3, 0, 3, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 3, 1, 3, 1, 1, 3, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 3, 0, 4, 1, 1, 1.03, 1.0096, 
, 5, 4, 6, 2, 11, 4, 9, 3, 10, 6, 6, 7, 4, 11, 4, 6, 2, 10, 3, 8, 4, 6, 9, 7, 6, 2, 7, 3, 7, 3, 9, 6, 7, 5, 5, 6, 6, 6, 5, 7, 4, 6, 3, 7, 3, 7, 5, 9, 6, 7, 4, 7, 10, 4, 10, 3, 8, 3, 8, 6, 10, 8, 7, 7, 2, 6, 2, 10, 3, 7, 4, 7, 7, 3, 7, 2, 7, 2, 7, 4, 8, 2, 6, 5, 5, 8, 9, 5, 5, 7, 4, 6, 4, 7, 2, 11, 5, 8, 6, 10, 5, 5.92, 2.40236, 
, 6, 4, 5, 8, 4, 11, 3, 7, 4, 3, 6, 1, 8, 3, 4, 3, 8, 3, 7, 4, 4, 8, 5, 5, 1, 6, 4, 5, 4, 7, 6, 7, 5, 3, 7, 3, 5, 3, 6, 5, 4, 4, 4, 3, 4, 5, 5, 7, 4, 3, 3, 6, 3, 7, 4, 8, 3, 6, 4, 7, 7, 5, 6, 3, 5, 3, 8, 3, 8, 5, 6, 7, 1, 6, 1, 6, 3, 5, 5, 7, 3, 4, 6, 2, 8, 4, 4, 1, 6, 4, 4, 5, 6, 3, 8, 4, 5, 4, 3, 4, 2, 4.79, 1.93477, 
, 7, 11, 16, 8, 12, 8, 15, 9, 10, 7, 9, 17, 12, 13, 4, 17, 9, 11, 12, 10, 17, 14, 9, 7, 13, 7, 13, 6, 17, 13, 14, 14, 6, 13, 9, 14, 14, 14, 14, 10, 11, 13, 9, 13, 11, 15, 12, 13, 11, 13, 17, 10, 11, 12, 13, 8, 17, 8, 14, 14, 14, 15, 7, 16, 5, 16, 8, 15, 14, 14, 11, 9, 15, 6, 15, 11, 11, 9, 16, 8, 9, 15, 11, 12, 14, 11, 14, 17, 11, 10, 10, 8, 11, 18, 9, 15, 9, 15, 11, 9, 13, 11.8, 3.17503, 
, 8, 6, 3, 8, 2, 6, 3, 5, 6, 2, 7, 2, 3, 1, 7, 3, 7, 2, 5, 5, 5, 4, 2, 6, 1, 5, 3, 6, 4, 5, 2, 3, 4, 4, 5, 3, 6, 1, 5, 2, 7, 2, 5, 2, 5, 4, 4, 4, 3, 5, 2, 8, 2, 8, 2, 5, 3, 7, 7, 4, 5, 1, 3, 1, 7, 3, 7, 2, 5, 4, 3, 5, 2, 5, 1, 4, 1, 6, 2, 4, 2, 3, 4, 4, 4, 4, 5, 1, 5, 2, 6, 2, 7, 2, 6, 4, 5, 4, 1, 3, 1, 3.94, 1.91654, 


Number Out, 0, 31, 33, 25, 28, 18, 23, 25, 27, 33, 18, 24, 17, 28, 27, 24, 20, 19, 22, 28, 32, 17, 33, 22, 25, 24, 29, 31, 26, 27, 17, 28, 21, 28, 20, 29, 26, 24, 33, 23, 25, 24, 24, 27, 33, 24, 27, 27, 27, 25, 19, 29, 28, 24, 31, 23, 30, 30, 28, 30, 25, 28, 19, 25, 26, 29, 33, 29, 24, 22, 31, 13, 36, 23, 30, 24, 31, 26, 27, 29, 20, 25, 25, 31, 26, 32, 22, 19, 32, 16, 26, 30, 20, 31, 22, 25, 30, 24, 23, 28, 27, 25.84, 4.55432, 
, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.22, 0.483673, 
, 2, 23, 27, 15, 19, 20, 17, 32, 17, 21, 13, 19, 23, 21, 17, 20, 20, 24, 16, 15, 28, 15, 20, 18, 25, 28, 21, 22, 15, 23, 20, 24, 15, 21, 19, 19, 29, 21, 19, 22, 18, 22, 27, 18, 24, 21, 23, 21, 16, 25, 21, 20, 28, 18, 27, 23, 22, 29, 17, 24, 18, 19, 23, 22, 27, 22, 20, 19, 26, 9, 30, 20, 26, 20, 26, 20, 22, 19, 21, 23, 19, 27, 21, 25, 21, 15, 27, 10, 21, 25, 18, 29, 15, 18, 25, 16, 19, 26, 19, 20, 22, 21.17, 4.31594, 
, 3, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 3, 0, 1, 0, 0, 3, 0, 1, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0.57, 0.819645, 
, 4, 2, 0, 2, 0, 1, 0, 1, 0, 3, 1, 3, 1, 0, 3, 0, 1, 0, 1, 0, 2, 1, 2, 1, 2, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 3, 0, 3, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 3, 1, 3, 1, 1, 3, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 3, 0, 4, 1, 1, 1.03, 1.0096, 
, 5, 4, 6, 2, 11, 4, 9, 3, 10, 6, 6, 7, 4, 11, 4, 6, 2, 10, 3, 8, 4, 6, 9, 7, 6, 2, 7, 3, 6, 3, 9, 6, 9, 5, 5, 6, 6, 6, 5, 7, 3, 6, 3, 7, 3, 7, 5, 9, 6, 7, 4, 6, 9, 4, 10, 3, 8, 3, 8, 6, 10, 8, 7, 6, 2, 6, 2, 10, 3, 7, 4, 7, 7, 3, 7, 2, 7, 2, 7, 4, 8, 2, 6, 5, 5, 8, 9, 5, 5, 7, 4, 6, 4, 7, 2, 11, 5, 8, 6, 10, 4, 5.88, 2.41326, 
, 6, 4, 5, 8, 4, 11, 3, 7, 4, 3, 6, 1, 8, 3, 4, 3, 8, 3, 7, 4, 4, 8, 5, 5, 1, 6, 4, 5, 4, 7, 6, 7, 5, 3, 7, 3, 5, 3, 6, 5, 4, 4, 4, 3, 4, 5, 5, 7, 4, 3, 3, 6, 3, 7, 4, 8, 3, 6, 4, 7, 7, 5, 6, 3, 5, 3, 8, 3, 8, 5, 6, 7, 1, 6, 1, 6, 3, 5, 5, 7, 3, 4, 6, 2, 8, 4, 4, 1, 6, 4, 4, 5, 6, 3, 8, 4, 5, 4, 3, 4, 2, 4.79, 1.93477, 
, 7, 11, 16, 8, 12, 8, 15, 9, 10, 7, 9, 17, 12, 13, 4, 17, 9, 11, 9, 10, 17, 14, 9, 7, 13, 7, 13, 6, 17, 13, 14, 14, 6, 13, 9, 14, 14, 14, 14, 10, 11, 13, 9, 13, 11, 15, 12, 13, 11, 13, 17, 10, 11, 12, 13, 8, 17, 8, 14, 13, 14, 15, 7, 16, 5, 16, 8, 15, 14, 16, 11, 9, 15, 6, 15, 11, 11, 9, 16, 8, 9, 15, 11, 12, 14, 11, 14, 17, 11, 10, 10, 8, 11, 18, 9, 15, 9, 15, 11, 9, 13, 11.78, 3.20221, 
, 8, 8, 3, 8, 2, 6, 3, 5, 6, 2, 7, 2, 3, 1, 7, 3, 7, 2, 5, 5, 5, 4, 2, 6, 1, 5, 3, 6, 4, 5, 2, 3, 4, 4, 5, 3, 6, 1, 5, 2, 7, 2, 5, 2, 7, 4, 4, 4, 3, 5, 2, 7, 2, 8, 2, 5, 3, 7, 7, 4, 5, 1, 3, 1, 7, 3, 7, 2, 5, 4, 3, 5, 2, 5, 1, 4, 1, 6, 2, 4, 2, 3, 4, 4, 4, 4, 5, 1, 5, 2, 6, 2, 7, 2, 8, 4, 5, 4, 1, 3, 1, 3.99, 1.98222, 



