Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Mean, Std Dev,
Utilization,0,0.46919,0.310186,0.528182,0.542843,0.415654,0.453211,0.0945732, 
,30,0.103144,0.161645,0.450388,0.177186,0.207599,0.219992,0.134281, 
,60,0.472143,0.710216,0.547038,0.1241,0.272991,0.425297,0.230277, 
,,,,,,,,,
Avg Service Time,0,3.48319,2.80983,4.50078,2.61872,4.59159,3.60082,0.921354, 
,1,0,14.9384,14.4826,0,0,5.8842,8.05888, 
,2,22.3838,11.4669,19.9924,19.1707,17.9079,18.1843,4.09504, 
,3,0,0,0,0,0,0,0, 
,4,0,0,0.52322,0.207096,0,0.146063,0.229116, 
,5,0.957314,1.95583,3.30959,1.4125,1.4566,1.81837,0.905492, 
,6,0.170825,0.628397,0.834249,0.616562,0.766607,0.603328,0.25877, 
,7,1.4887,1.74576,0.845001,0.745874,1.45493,1.25605,0.436672, 
,8,2.85047,1.91625,1.28042,0.552452,0.709696,1.46186,0.94345, 
,,,,,,,,,
Avg Wait Time,0,0.016777,0.233385,17.0234,0.214944,0.622636,3.62224,7.49472, 
,1,0,0,10.9396,0,0,2.18793,4.89235, 
,2,13.447,3.79932,17.0933,7.86605,12.3387,10.9089,5.16088, 
,3,0,0,0,0,0,0,0, 
,4,0,0,0,0,0,0,0, 
,5,0.524292,2.43261,2.25561,0,1.38469,1.31944,1.05983, 
,6,3.60934,1.07215,19.8372,2.0461,0.65243,5.44345,8.12632, 
,7,0.134857,0.487115,9.61265,0.687796,3.29678,2.84384,3.98633, 
,8,1.86974,0,0.208347,0,0.429054,0.501427,0.785217, 
,,,,,,,,,
Number In,0,26,26,30,22,32,27.2,3.89872, 
,1,0,2,1,0,0,0.6,0.894427, 
,2,24,15,20,17,18,18.8,3.42053, 
,3,0,0,0,0,0,0,0, 
,4,0,0,2,1,0,0.6,0.894427, 
,5,4,11,10,5,4,6.8,3.42053, 
,6,3,6,7,5,5,5.2,1.48324, 
,7,11,13,9,8,13,10.8,2.28035, 
,8,5,7,2,2,3,3.8,2.16795, 
,,,,,,,,,
Number Out,0,26,20,27,22,31,25.2,4.32435, 
,1,0,1,1,0,0,0.4,0.547723, 
,2,24,11,20,15,18,17.6,4.9295, 
,3,0,0,0,0,0,0,0, 
,4,0,0,2,1,0,0.6,0.894427, 
,5,4,7,10,5,4,6,2.54951, 
,6,3,6,7,5,5,5.2,1.48324, 
,7,11,12,9,8,13,10.6,2.07364, 
,8,5,6,2,2,3,3.6,1.81659, 
,,,,,,,,,
Number Expired,0,0,0,3,0,0,0.6,1.34164, 
,1,0,0,0,0,0,0,0, 
,2,0,0,0,0,0,0,0, 
,3,0,0,0,0,0,0,0, 
,4,0,0,0,0,0,0,0, 
,5,0,0,0,0,0,0,0, 
,6,0,0,0,0,0,0,0, 
,7,0,0,0,0,0,0,0, 
,8,0,0,0,0,0,0,0, 