Statistic, Task,Rep 0,Rep 1
Wait Time,0,0.660113,0.00783554
, ,0.675844,0.0551259
,1,0,0
, ,0,0
,2,1.09258,0.0159826
, ,1.55999,0.0909164
,3,0,0
, ,0,0
,4,0,0
, ,0,0
,5,0.927462,0.0158288
, ,1.41151,0.115571
,6,1.64057,0.0635582
, ,1.62427,0.431923
,7,0.775736,0.0190032
, ,1.31553,0.156449
,8,0.79928,0.0718216
, ,1.12598,0.511035
,Sum,5.89574,0.19403
, ,4.54146,0.873394
Number Expired,0,0,0
, ,0,0
,1,0,0
, ,0,0
,2,0,0
, ,0,0
,3,0,0
, ,0,0
,4,0,0
, ,0,0
,5,0,0
, ,0,0
,6,0,0
, ,0,0
,7,0,0
, ,0,0
,8,0,0
, ,0,0
,Sum,0,0
, ,0,0