Statistic, Task, 0 min, 30 min, 60 min, 90 min,
Utilization, 0, 0, 0, 0, 0
, , 0, 0, 0, 0
, 1, 0, 0, 0, 0
, , 0, 0, 0, 0
, 2, 0, 0, 0, 0
, , 0, 0, 0, 0
, 3, 0, 0, 0, 0
, , 0, 0, 0, 0
, 4, 0, 0, 0, 0
, , 0, 0, 0, 0
, 5, 0, 0, 0, 0
, , 0, 0, 0, 0
, 6, 0, 0, 0, 0
, , 0, 0, 0, 0
, 7, 0, 0, 0, 0
, , 0, 0, 0, 0
, 8, 0, 0, 0, 0
, , 0, 0, 0, 0
,Sum, 0, 0, 0, 0
, , 0, 0, 0, 0
Service Time, 0, 3.63991, 0.266778, 0.373895, 3.11909
, , 0.993702, 0.23329, 0.210467, 0.807586
, 1, 0, 0, 0.0520988, 0
, , 0, 0, 0.164751, 0
, 2, 3.37234, 1.82233, 1.42288, 6.88768
, , 1.86145, 1.38107, 1.92658, 2.1603
, 3, 0, 0.45239, 0, 0.932779
, , 0, 0.957893, 0, 1.44024
, 4, 0, 0.172463, 0.222117, 0
, , 0, 0.19781, 0.352079, 0
, 5, 1.60275, 3.99289, 4.16374, 2.01746
, , 2.09363, 1.72024, 3.03191, 1.15071
, 6, 1.17409, 1.43316, 1.68765, 2.11202
, , 0.544353, 0.781841, 0.902816, 0.642898
, 7, 0.539922, 0.939232, 1.14362, 2.56124
, , 0.438502, 0.533347, 0.538582, 0.86854
, 8, 0.484399, 1.85142, 2.09641, 3.55278
, , 0.283212, 0.910262, 1.12095, 1.64573
,Sum, 10.8134, 10.9307, 11.1624, 21.1831
, , 3.59681, 2.45838, 3.65538, 3.5138
Wait Time, 0, 0.572158, 0.863673, 0.709292, 0.331509
, , 0.283217, 1.94144, 1.59008, 0.322832
, 1, 0, 0, 0, 0
, , 0, 0, 0, 0
, 2, 0.997577, 0.725587, 1.07335, 3.23312
, , 1.03917, 1.45084, 1.72563, 2.67546
, 3, 0, 0, 0, 1.51212
, , 0, 0, 0, 2.56508
, 4, 0, 0, 0.152061, 0
, , 0, 0, 0.3907, 0
, 5, 1.19299, 0.497167, 0.713335, 5.11365
, , 3.36814, 1.04129, 0.996789, 3.92993
, 6, 1.10946, 2.92486, 3.43205, 7.30543
, , 1.03521, 2.81121, 4.72183, 7.79526
, 7, 0.45253, 1.29138, 3.53119, 0.788776
, , 0.735996, 1.3515, 4.31433, 0.756269
, 8, 1.34545, 1.56316, 0.562425, 15.2618
, , 2.62199, 2.24445, 0.662041, 13.2871
,Sum, 5.67017, 7.86583, 10.1737, 33.5464
, , 6.81686, 6.5747, 10.1177, 22.5156
Number In, 0, 27.4, 2.6, 2.8, 22.9
, , 7.07421, 1.89737, 1.75119, 5.46606
, 1, 0, 0, 0.1, 0
, , 0, 0, 0.316228, 0
, 2, 4.2, 1.9, 1.4, 9
, , 1.93218, 1.59513, 1.89737, 2.35702
, 3, 0, 0.2, 0, 0.6
, , 0, 0.421637, 0, 0.843274
, 4, 0, 0.6, 1, 0
, , 0, 0.699206, 1.33333, 0
, 5, 1.2, 3.1, 3.3, 2.2
, , 1.31656, 0.994429, 2.26323, 1.13529
, 6, 8.3, 10, 10.8, 13.5
, , 2.71006, 3.77124, 5.00666, 3.40751
, 7, 3.4, 6.3, 6.5, 17.4
, , 2.1187, 1.63639, 1.84089, 2.83627
, 8, 1.9, 4.7, 6.9, 10.9
, , 1.1005, 1.88856, 3.60401, 3.92853
,Sum, 46.4, 29.4, 32.8, 76.5
, , 8.72035, 3.68782, 6.03324, 8.59263
Number Out, 0, 27.2, 2.8, 2.8, 22.9
, , 6.79542, 2.04396, 1.75119, 5.46606
, 1, 0, 0, 0.1, 0
, , 0, 0, 0.316228, 0
, 2, 4.2, 1.9, 1.4, 8.7
, , 1.93218, 1.59513, 1.89737, 2.11082
, 3, 0, 0.2, 0, 0.4
, , 0, 0.421637, 0, 0.699206
, 4, 0, 0.5, 1.1, 0
, , 0, 0.527046, 1.28668, 0
, 5, 1.1, 3.1, 3.1, 1.9
, , 1.37032, 0.994429, 2.33095, 1.1005
, 6, 8.3, 10, 10.6, 13.5
, , 2.71006, 3.77124, 5.25357, 3.62859
, 7, 3.4, 6.2, 6.4, 17.6
, , 2.1187, 1.8738, 1.77639, 2.98887
, 8, 1.9, 4.7, 6.9, 10.2
, , 1.1005, 1.88856, 3.60401, 4.77959
,Sum, 46.1, 29.4, 32.4, 75.2
, , 8.69802, 3.40588, 6.11374, 8.14862
Number Expired, 0, 0, 0, 0, 0
, , 0, 0, 0, 0
, 1, 0, 0, 0, 0
, , 0, 0, 0, 0
, 2, 0, 0, 0, 0
, , 0, 0, 0, 0
, 3, 0, 0, 0, 0
, , 0, 0, 0, 0
, 4, 0, 0, 0, 0
, , 0, 0, 0, 0
, 5, 0, 0, 0, 0
, , 0, 0, 0, 0
, 6, 0, 0, 0, 0
, , 0, 0, 0, 0
, 7, 0, 0, 0, 0
, , 0, 0, 0, 0
, 8, 0, 0, 0, 0
, , 0, 0, 0, 0
,Sum, 0, 0, 0, 0
, , 0, 0, 0, 0
Data by Rep, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, Task, Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9
Wait Time, 0, 0.340687, 1.66243, 0.615898, 0.080775, 0.249669, 1.54482, 0.398413, 0.20058, 0.791145, 0.30716
,, 0.298759, 3.10368, 0.213751, 0.151146, 0.28372, 2.39606, 0.515111, 0.395837, 0.253992, 0.351116
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.881416, 2.47029, 0.440025, 1.26867, 1.43406, 1.04483, 1.10504, 1.88113, 1.44248, 3.10616
,, 1.37916, 2.42791, 0.703743, 1.87525, 1.65734, 0.468565, 1.46932, 1.90461, 2.05737, 4.60053
, 3, 1.80361, 0, 0.0792027, 1.13662, 0, 0, 0, 0, 0, 0.760872
,, 3.60722, 0, 0.158405, 2.27325, 0, 0, 0, 0, 0, 1.52174
, 4, 0.0716324, 0, 0, 0, 0.308519, 0, 0, 0, 0, 0
,, 0.143265, 0, 0, 0, 0.617039, 0, 0, 0, 0, 0
, 5, 2.16509, 2.99252, 0.499246, 5.18062, 0.256685, 1.44899, 2.47705, 0.771976, 0.723888, 2.27681
,, 4.23656, 5.09323, 0.91001, 4.63414, 0.397023, 1.24366, 4.69808, 0.920543, 0.836756, 3.96622
, 6, 2.61964, 2.19187, 1.39768, 5.13304, 2.18999, 5.97318, 1.92614, 4.88279, 2.08749, 8.52768
,, 2.81587, 1.63512, 1.10287, 2.75126, 2.18444, 4.58411, 1.72434, 6.26596, 2.20474, 13.6694
, 7, 1.76655, 1.21537, 1.76095, 0.316006, 1.58624, 1.46776, 0.659993, 4.2492, 1.14452, 0.9931
,, 1.23802, 1.26763, 2.10914, 0.389247, 1.36759, 2.1464, 0.876352, 7.09601, 1.94511, 1.03779
, 8, 9.6702, 11.4812, 1.29546, 5.39787, 4.55725, 2.23368, 3.24652, 0.563279, 1.94594, 6.44075
,, 16.8728, 18.5991, 1.23057, 2.95901, 6.71515, 3.49787, 6.49304, 1.09709, 3.66821, 12.353
,Sum, 19.3188, 22.0137, 6.08846, 18.5136, 10.5824, 13.7133, 9.81315, 12.549, 8.13547, 22.4125
,, 24.1383, 24.6292, 3.57292, 10.8403, 9.94548, 10.8313, 14.8936, 12.7875, 8.61454, 36.9425
, Task, Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9
Number Expired, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,Sum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
