Statistic, Task, 0-30 min,Actual,Expected,Percent Error
,,,Time per task,,
Service Time,Communication,3.82478,0.13071702,0.132999947,-1.716487136
, ,0.839612,,,
,Paperwork,3.2876,0.707010753,0.775,-8.772806105
, ,1.81585,,,
,Signal,1.17377,1.248691489,1.25,-0.104680851
, ,1.32009,,,
,Monitoring In,1.01309,0.120319477,0.132999947,-9.534191306
, ,0.506591,,,
,Monitoring Out,0.441044,0.131654925,0.149999999,-12.23004931
, ,0.362951,,,
,Planning,0.521212,0.28638022,0.33,-13.21811523
, ,,,,
,,,One arrival per X min,,
Number In,Communication,29.26,1.025290499,1.05,-2.353285812
, ,6.15559,,,
,Paperwork,4.65,6.451612903,6.67,-3.274169367
, ,2.24452,,,
,Signal,0.94,31.91489362,30,6.382978723
, ,0.930081,,,
,Monitoring In,8.42,3.562945368,3.5,1.798439091
, ,2.83976,,,
,Monitoring Out,3.35,8.955223881,9,-0.497512438
, ,1.82228,,,
,Planning,1.82,16.48351648,15,9.89010989
, ,,,,